Data,Produkt,Region,Ilosc,Cena_Jednostkowa
2026-01-01,Klawiatura,Zachod,28,1408.805957003199
2026-01-02,Monitor,Zachod,30,2788.3985848544903
2026-01-03,Sluchawki,Wschod,15,534.6039875682679
2026-01-04,Laptop,Poludnie,39,1395.197037298721
2026-01-05,Myszka,Polnoc,24,778.5857381713379
2026-01-06,Myszka,Zachod,50,956.3637518242963
2026-01-07,Laptop,Zachod,24,1733.6895441497777
2026-01-08,Myszka,Poludnie,33,951.5779523732912
2026-01-09,Myszka,Zachod,43,921.8988580896174
2026-01-10,Myszka,Zachod,5,202.4574493185527
2026-01-11,Monitor,Wschod,30,1998.3808531029674
2026-01-12,Monitor,Zachod,31,1426.9001774616913
2026-01-13,Klawiatura,Poludnie,18,2883.7715932784095
2026-01-14,Monitor,Polnoc,12,1129.1983014480409
2026-01-15,Klawiatura,Zachod,50,1523.2945922304402
2026-01-16,Sluchawki,Wschod,19,821.3676229869669
2026-01-17,Monitor,Polnoc,22,1890.5845660040623
2026-01-18,Klawiatura,Zachod,22,1434.5429339955083
2026-01-19,Monitor,Poludnie,36,2648.8912428573567
2026-01-20,Myszka,Zachod,10,150.46142096631255
2026-01-21,Sluchawki,Poludnie,41,192.28026616763097
2026-01-22,Myszka,Polnoc,24,1690.0330719276546
2026-01-23,Monitor,Zachod,33,444.9839105961419
2026-01-24,Sluchawki,Zachod,5,1676.2002955653127
2026-01-25,Monitor,Zachod,45,697.3396027442907
2026-01-26,Monitor,Zachod,41,1858.5356215747343
2026-01-27,Monitor,Poludnie,36,1564.7262780722
2026-01-28,Myszka,Poludnie,35,2102.279143700674
2026-01-29,Laptop,Wschod,43,763.3835612558136
2026-01-30,Laptop,Zachod,23,2803.9601713017028
2026-01-31,Klawiatura,Zachod,20,2487.2971124030582
2026-02-01,Laptop,Poludnie,3,586.4222737185233
2026-02-02,Klawiatura,Poludnie,21,301.17305688078454
2026-02-03,Klawiatura,Poludnie,43,856.4332323428708
2026-02-04,Myszka,Zachod,25,1661.4876036559842
2026-02-05,Sluchawki,Wschod,21,1800.8722919552304
2026-02-06,Sluchawki,Wschod,15,979.6923045517758
2026-02-07,Sluchawki,Wschod,39,1973.7296191367257
2026-02-08,Monitor,Zachod,50,1231.0036959395945
2026-02-09,Sluchawki,Zachod,3,207.82429760298987
2026-02-10,Klawiatura,Poludnie,24,1089.0699182895983
2026-02-11,Sluchawki,Wschod,8,1469.817563633402
2026-02-12,Monitor,Wschod,28,917.5440604166074
2026-02-13,Sluchawki,Zachod,11,1288.81160714667
2026-02-14,Laptop,Zachod,9,146.60829655394434
2026-02-15,Sluchawki,Wschod,40,2518.6336570186572
2026-02-16,Monitor,Poludnie,4,895.1450137822319
2026-02-17,Myszka,Zachod,35,1415.3805516878883
2026-02-18,Laptop,Polnoc,39,58.88924107654328
2026-02-19,Myszka,Zachod,9,1644.5098537009208
2026-02-20,Laptop,Poludnie,45,1896.2005089385557
2026-02-21,Laptop,Poludnie,8,887.0611926595321
2026-02-22,Sluchawki,Polnoc,3,581.465670644479
2026-02-23,Monitor,Wschod,25,2161.288787959723
2026-02-24,Sluchawki,Zachod,27,1450.7068943059319
2026-02-25,Monitor,Poludnie,2,2408.269002291314
2026-02-26,Myszka,Wschod,2,2834.901267300021
2026-02-27,Sluchawki,Wschod,48,200.22295481613256
2026-02-28,Sluchawki,Zachod,4,482.8829420318516
2026-03-01,Laptop,Poludnie,41,385.8540143729737
2026-03-02,Laptop,Poludnie,28,2930.0305161607375
2026-03-03,Klawiatura,Wschod,35,1460.529799629175
2026-03-04,Laptop,Zachod,40,2775.009069282008
2026-03-05,Sluchawki,Wschod,2,1890.8601328368622
2026-03-06,Sluchawki,Wschod,11,2811.472908316687
2026-03-07,Monitor,Poludnie,14,2697.0562004527083
2026-03-08,Myszka,Zachod,31,2082.541554060529
2026-03-09,Laptop,Zachod,23,2318.1185737209294
2026-03-10,Sluchawki,Poludnie,5,552.4627101899546
2026-03-11,Myszka,Poludnie,2,1649.1637368417246
2026-03-12,Sluchawki,Zachod,18,1916.9252270574832
2026-03-13,Myszka,Polnoc,35,213.67343334273176
2026-03-14,Klawiatura,Poludnie,48,2661.5417987194473
2026-03-15,Laptop,Polnoc,46,82.27685914822945
2026-03-16,Klawiatura,Zachod,15,1229.7323074948165
2026-03-17,Monitor,Polnoc,3,592.7841827847901
2026-03-18,Laptop,Polnoc,26,405.4698170753446
2026-03-19,Laptop,Poludnie,2,123.55231056322863
2026-03-20,Laptop,Polnoc,26,2018.9307975019121
2026-03-21,Monitor,Zachod,5,1468.2737835915952
2026-03-22,Myszka,Zachod,9,2378.563938757102
2026-03-23,Klawiatura,Wschod,44,2258.3609070222938
2026-03-24,Myszka,Polnoc,11,1975.4164109695782
